Brand,Model,Manufacturing Year,Fuel Type,Owner,Mileage (kmpl),Transmission,Registration State,KM Driven,Selling Price
MARUTI,Alto,2006,diesel,Second Owner,26.45773202,manual,RJ,367419,465217
MARUTI,Alto,2019,petrol,Second Owner,26.68702834,automatic,RJ,61113,1256522
MARUTI,Alto,2014,petrol,First Owner,22.39210882,manual,MP,222869,952174
MARUTI,Alto,2010,diesel,First Owner,22.05036922,manual,MP,268074,708696
MARUTI,Alto,2007,petrol,First Owner,28.37176837,manual,DL,145182,526087
MARUTI,Alto,2020,petrol,First Owner,22.76595556,automatic,WB,305936,1317391
MARUTI,Alto,2006,electric,Second Owner,20.10230787,automatic,UP,237258,465217
MARUTI,Alto,2018,diesel,Second Owner,22.98263405,automatic,PB,389256,1195652
MARUTI,Alto,2022,petrol,Second Owner,31.15324155,manual,PB,203273,1439130
MARUTI,Alto,2010,diesel,First Owner,34.3295691,manual,MH,234917,708696
MARUTI,Alto,2010,diesel,First Owner,27.71900461,automatic,PB,92381,708696
MARUTI,Alto,2023,petrol,First Owner,30.64202451,automatic,PB,166300,1500000
MARUTI,Alto,2020,electric,Second Owner,25.65649723,automatic,GJ,317369,1317391
MARUTI,Alto,2003,diesel,Second Owner,27.49646284,automatic,UP,46187,282609
MARUTI,Alto,2007,petrol,First Owner,34.76173313,manual,UP,170565,526087
MARUTI,Alto,2023,diesel,First Owner,23.76837729,automatic,WB,30729,1500000
MARUTI,Alto,2002,electric,Second Owner,16.32509394,automatic,MP,294693,221739
MARUTI,Alto,2021,electric,Second Owner,34.14013836,manual,RJ,320157,1378261
MARUTI,Alto,2020,electric,Second Owner,30.86123442,automatic,TN,306491,1317391
MARUTI,Alto,2001,petrol,First Owner,22.96620736,automatic,PB,188280,160870
MARUTI,Alto,2023,petrol,First Owner,34.64790107,automatic,RJ,346916,1500000
MARUTI,Alto,2011,electric,First Owner,21.91071501,manual,RJ,322522,769565
MARUTI,Alto,2005,petrol,First Owner,22.44240392,manual,TN,21998,404348
MARUTI,Alto,2001,electric,Second Owner,27.19462706,automatic,WB,185832,160870
MARUTI,Alto,2020,petrol,Second Owner,20.48694772,manual,TN,394316,1317391
MARUTI,Alto,2000,electric,Second Owner,28.9714297,automatic,GJ,273807,100000
MARUTI,Alto,2011,diesel,First Owner,18.05700608,automatic,GJ,134100,769565
MARUTI,Alto,2021,electric,Second Owner,17.16050639,manual,TN,254416,1378261
MARUTI,Alto,2011,electric,Second Owner,25.69756015,automatic,UP,397544,769565
MARUTI,Alto,2016,petrol,Second Owner,26.10987365,manual,MH,47737,1073913
MARUTI,Alto,2009,petrol,Second Owner,17.13310139,manual,KA,216822,647826
MARUTI,Alto,2015,petrol,Second Owner,34.28352522,manual,MH,58514,1013043
MARUTI,Alto,2014,petrol,First Owner,26.46573315,automatic,GJ,213854,952174
MARUTI,Alto,2014,petrol,Second Owner,18.02069985,automatic,GJ,209019,952174
MARUTI,Alto,2018,petrol,Second Owner,21.22885049,automatic,MP,143549,1195652
MARUTI,Alto,2011,diesel,First Owner,31.00468428,automatic,UP,70232,769565
MARUTI,Alto,2022,electric,First Owner,25.46463056,manual,KA,114766,1439130
MARUTI,Alto,2019,electric,Second Owner,18.76296697,automatic,MP,226225,1256522
MARUTI,Alto,2002,electric,Second Owner,17.05697944,automatic,GJ,292605,221739
MARUTI,Alto,2004,diesel,Second Owner,23.61548824,manual,WB,102394,343478
MARUTI,Swift,2018,electric,Second Owner,21.74829417,manual,MH,291467,1195652
MARUTI,Swift,2006,diesel,First Owner,28.11834705,automatic,PB,266622,465217
MARUTI,Swift,2020,diesel,Second Owner,33.50493974,manual,MP,225611,1317391
MARUTI,Swift,2008,diesel,First Owner,19.95460572,automatic,TN,319184,586957
MARUTI,Swift,2006,electric,Second Owner,32.10467867,automatic,MH,159750,465217
MARUTI,Swift,2017,diesel,Second Owner,33.40923957,manual,PB,165821,1134783
MARUTI,Swift,2003,electric,Second Owner,33.04005199,manual,PB,274643,282609
MARUTI,Swift,2013,electric,First Owner,34.0415466,automatic,WB,367172,891304
MARUTI,Swift,2017,petrol,Second Owner,31.84217244,automatic,PB,374878,1134783
MARUTI,Swift,2008,petrol,Second Owner,26.86972011,automatic,GJ,233259,586957
MARUTI,Swift,2020,diesel,First Owner,23.19692197,automatic,RJ,373040,1317391
MARUTI,Swift,2001,diesel,Second Owner,24.83375572,automatic,RJ,105793,160870
MARUTI,Swift,2019,electric,First Owner,32.4522435,manual,DL,358843,1256522
MARUTI,Swift,2014,diesel,Second Owner,21.02796755,automatic,KA,124835,952174
MARUTI,Swift,2006,diesel,First Owner,18.18523389,manual,WB,104321,465217
MARUTI,Swift,2011,electric,First Owner,17.81638436,manual,DL,237901,769565
MARUTI,Swift,2007,diesel,First Owner,31.5398922,manual,KA,178989,526087
MARUTI,Swift,2014,diesel,Second Owner,30.22971373,automatic,RJ,211487,952174
MARUTI,Swift,2002,electric,First Owner,24.95290682,automatic,WB,137004,221739
MARUTI,Swift,2013,electric,First Owner,20.49742856,manual,GJ,142297,891304
MARUTI,Swift,2016,petrol,Second Owner,28.55226351,manual,UP,265040,1073913
MARUTI,Swift,2003,electric,First Owner,15.76866195,manual,MP,246549,282609
MARUTI,Swift,2017,petrol,Second Owner,26.36455631,manual,MP,299729,1134783
MARUTI,Swift,2007,diesel,Second Owner,22.96850337,manual,MH,238178,526087
MARUTI,Swift,2003,electric,First Owner,34.55719268,automatic,RJ,167732,282609
MARUTI,Swift,2001,electric,First Owner,25.15120498,manual,RJ,271087,160870
MARUTI,Swift,2005,electric,Second Owner,26.04535505,automatic,GJ,208722,404348
MARUTI,Swift,2021,diesel,First Owner,29.24725327,manual,DL,377925,1378261
MARUTI,Swift,2009,petrol,First Owner,24.69076962,manual,UP,397462,647826
MARUTI,Swift,2003,diesel,First Owner,19.49137239,automatic,RJ,137273,282609
MARUTI,Swift,2021,diesel,First Owner,25.74555693,automatic,PB,207665,1378261
MARUTI,Swift,2017,electric,Second Owner,33.88537742,manual,MH,250513,1134783
MARUTI,Swift,2011,petrol,Second Owner,23.19821976,automatic,MP,276133,769565
MARUTI,Swift,2001,diesel,First Owner,28.5928191,automatic,RJ,248776,160870
MARUTI,Swift,2009,electric,Second Owner,34.56068378,manual,UP,26968,647826
MARUTI,Swift,2003,diesel,First Owner,31.59844626,manual,TN,87249,282609
MARUTI,Swift,2013,diesel,First Owner,28.18068266,manual,DL,160312,891304
MARUTI,Swift,2015,electric,First Owner,29.71992977,automatic,UP,193615,1013043
MARUTI,Swift,2014,electric,First Owner,33.72966496,manual,PB,318263,952174
MARUTI,Swift,2007,petrol,Second Owner,34.19504209,manual,DL,388541,526087
MARUTI,Baleno,2013,diesel,First Owner,34.37936261,automatic,MP,295244,891304
MARUTI,Baleno,2022,electric,Second Owner,27.51283256,manual,DL,324938,1439130
MARUTI,Baleno,2007,electric,First Owner,22.694233,automatic,UP,386663,526087
MARUTI,Baleno,2020,petrol,Second Owner,17.66306258,automatic,WB,68121,1317391
MARUTI,Baleno,2015,petrol,Second Owner,22.71096003,manual,UP,291287,1013043
MARUTI,Baleno,2012,electric,Second Owner,33.85910909,automatic,RJ,341520,830435
MARUTI,Baleno,2017,petrol,Second Owner,32.79594161,automatic,PB,103144,1134783
MARUTI,Baleno,2014,electric,First Owner,25.47319324,manual,GJ,388672,952174
MARUTI,Baleno,2020,diesel,Second Owner,25.74014573,automatic,DL,102016,1317391
MARUTI,Baleno,2023,petrol,First Owner,21.17840699,manual,UP,150604,1500000
MARUTI,Baleno,2012,diesel,Second Owner,24.0901578,manual,KA,231817,830435
MARUTI,Baleno,2008,diesel,Second Owner,29.28896988,manual,KA,360881,586957
MARUTI,Baleno,2014,diesel,Second Owner,23.04861451,manual,MH,88677,952174
MARUTI,Baleno,2012,electric,First Owner,18.75967744,manual,DL,112889,830435
MARUTI,Baleno,2000,diesel,Second Owner,25.81719158,automatic,WB,97006,100000
MARUTI,Baleno,2006,diesel,First Owner,19.50673823,automatic,PB,115133,465217
MARUTI,Baleno,2008,diesel,First Owner,34.48575112,automatic,TN,312234,586957
MARUTI,Baleno,2023,electric,First Owner,22.80679828,manual,PB,307620,1500000
MARUTI,Baleno,2000,diesel,Second Owner,33.19329943,manual,DL,346148,100000
MARUTI,Baleno,2011,diesel,Second Owner,19.51107993,manual,KA,213545,769565
MARUTI,Baleno,2007,petrol,Second Owner,18.78418011,manual,PB,94469,526087
MARUTI,Baleno,2023,electric,Second Owner,27.33802258,automatic,UP,95650,1500000
MARUTI,Baleno,2010,diesel,Second Owner,30.58758157,automatic,PB,247880,708696
MARUTI,Baleno,2018,petrol,Second Owner,26.33529128,manual,DL,325801,1195652
MARUTI,Baleno,2016,electric,Second Owner,19.59591367,manual,UP,381406,1073913
MARUTI,Baleno,2007,electric,First Owner,15.75788726,manual,MP,182930,526087
MARUTI,Baleno,2002,electric,Second Owner,27.36577642,automatic,PB,344985,221739
MARUTI,Baleno,2002,electric,First Owner,17.62074451,automatic,MH,27931,221739
MARUTI,Baleno,2000,electric,First Owner,21.86352774,manual,DL,126951,100000
MARUTI,Baleno,2004,electric,Second Owner,28.51569507,manual,RJ,74694,343478
MARUTI,Baleno,2009,diesel,Second Owner,16.96046881,automatic,RJ,290779,647826
MARUTI,Baleno,2006,diesel,First Owner,17.5450296,automatic,MH,327396,465217
MARUTI,Baleno,2008,diesel,First Owner,16.23332415,manual,RJ,227715,586957
MARUTI,Baleno,2006,diesel,Second Owner,34.92158258,manual,MH,210826,465217
MARUTI,Baleno,2008,petrol,First Owner,22.74153537,manual,MP,351161,586957
MARUTI,Baleno,2007,diesel,First Owner,33.11590335,automatic,WB,173149,526087
MARUTI,Baleno,2011,electric,First Owner,20.87171277,manual,KA,349097,769565
MARUTI,Baleno,2001,diesel,First Owner,30.0640513,automatic,UP,107776,160870
MARUTI,Baleno,2000,diesel,Second Owner,19.38133233,manual,MH,355356,100000
MARUTI,Baleno,2015,electric,Second Owner,24.96649419,manual,GJ,354691,1013043
MARUTI,Wagon R,2022,diesel,First Owner,31.49231479,manual,GJ,168126,1439130
MARUTI,Wagon R,2022,diesel,First Owner,31.32668798,automatic,GJ,74565,1439130
MARUTI,Wagon R,2023,diesel,First Owner,30.88561435,manual,TN,75153,1500000
MARUTI,Wagon R,2004,petrol,Second Owner,31.47468826,automatic,RJ,169740,343478
MARUTI,Wagon R,2002,diesel,Second Owner,19.22944563,manual,MH,273617,221739
MARUTI,Wagon R,2011,electric,First Owner,24.64432545,automatic,DL,135095,769565
