Brand,Model,Manufacturing Year,Fuel Type,Owner,Mileage (kmpl),Transmission,Registration State,KM Driven,Selling Price
MARUTI,Alto,2006,diesel,Second Owner,26.45773202,manual,RJ,367419,543536
MARUTI,Alto,2019,petrol,Second Owner,26.68702834,automatic,RJ,61113,409971
MARUTI,Alto,2014,petrol,First Owner,22.39210882,manual,MP,222869,679720
MARUTI,Alto,2010,diesel,First Owner,22.05036922,manual,MP,268074,1538509
MARUTI,Alto,2007,petrol,First Owner,28.37176837,manual,DL,145182,213683
MARUTI,Alto,2020,petrol,First Owner,22.76595556,automatic,WB,305936,239162
MARUTI,Alto,2006,electric,Second Owner,20.10230787,automatic,UP,237258,1649964
MARUTI,Alto,2018,diesel,Second Owner,22.98263405,automatic,PB,389256,239225
MARUTI,Alto,2022,petrol,Second Owner,31.15324155,manual,PB,203273,498208
MARUTI,Alto,2010,diesel,First Owner,34.3295691,manual,MH,234917,1336280
MARUTI,Alto,2010,diesel,First Owner,27.71900461,automatic,PB,92381,1681783
MARUTI,Alto,2023,petrol,First Owner,30.64202451,automatic,PB,166300,1788562
MARUTI,Alto,2020,electric,Second Owner,25.65649723,automatic,GJ,317369,539464
MARUTI,Alto,2003,diesel,Second Owner,27.49646284,automatic,UP,46187,886832
MARUTI,Alto,2007,petrol,First Owner,34.76173313,manual,UP,170565,455475
MARUTI,Alto,2023,diesel,First Owner,23.76837729,automatic,WB,30729,355620
MARUTI,Alto,2002,electric,Second Owner,16.32509394,automatic,MP,294693,293667
MARUTI,Alto,2021,electric,Second Owner,34.14013836,manual,RJ,320157,1850851
MARUTI,Alto,2020,electric,Second Owner,30.86123442,automatic,TN,306491,1286904
MARUTI,Alto,2001,petrol,First Owner,22.96620736,automatic,PB,188280,741646
MARUTI,Alto,2023,petrol,First Owner,34.64790107,automatic,RJ,346916,468368
MARUTI,Alto,2011,electric,First Owner,21.91071501,manual,RJ,322522,1435293
MARUTI,Alto,2005,petrol,First Owner,22.44240392,manual,TN,21998,250822
MARUTI,Alto,2001,electric,Second Owner,27.19462706,automatic,WB,185832,1768901
MARUTI,Alto,2020,petrol,Second Owner,20.48694772,manual,TN,394316,305422
MARUTI,Alto,2000,electric,Second Owner,28.9714297,automatic,GJ,273807,404792
MARUTI,Alto,2011,diesel,First Owner,18.05700608,automatic,GJ,134100,1794419
MARUTI,Alto,2021,electric,Second Owner,17.16050639,manual,TN,254416,1697581
MARUTI,Alto,2011,electric,Second Owner,25.69756015,automatic,UP,397544,787977
MARUTI,Alto,2016,petrol,Second Owner,26.10987365,manual,MH,47737,237573
MARUTI,Alto,2009,petrol,Second Owner,17.13310139,manual,KA,216822,1697705
MARUTI,Alto,2015,petrol,Second Owner,34.28352522,manual,MH,58514,1047670
MARUTI,Alto,2014,petrol,First Owner,26.46573315,automatic,GJ,213854,1274683
MARUTI,Alto,2014,petrol,Second Owner,18.02069985,automatic,GJ,209019,482344
MARUTI,Alto,2018,petrol,Second Owner,21.22885049,automatic,MP,143549,794957
MARUTI,Alto,2011,diesel,First Owner,31.00468428,automatic,UP,70232,1196736
MARUTI,Alto,2022,electric,First Owner,25.46463056,manual,KA,114766,672800
MARUTI,Alto,2019,electric,Second Owner,18.76296697,automatic,MP,226225,1051666
MARUTI,Alto,2002,electric,Second Owner,17.05697944,automatic,GJ,292605,1395208
MARUTI,Alto,2004,diesel,Second Owner,23.61548824,manual,WB,102394,1652196
MARUTI,Swift,2018,electric,Second Owner,21.74829417,manual,MH,291467,1392496
MARUTI,Swift,2006,diesel,First Owner,28.11834705,automatic,PB,266622,1236271
MARUTI,Swift,2020,diesel,Second Owner,33.50493974,manual,MP,225611,1764555
MARUTI,Swift,2008,diesel,First Owner,19.95460572,automatic,TN,319184,297412
MARUTI,Swift,2006,electric,Second Owner,32.10467867,automatic,MH,159750,798597
MARUTI,Swift,2017,diesel,Second Owner,33.40923957,manual,PB,165821,1068211
MARUTI,Swift,2003,electric,Second Owner,33.04005199,manual,PB,274643,927158
MARUTI,Swift,2013,electric,First Owner,34.0415466,automatic,WB,367172,1715146
MARUTI,Swift,2017,petrol,Second Owner,31.84217244,automatic,PB,374878,1657906
MARUTI,Swift,2008,petrol,Second Owner,26.86972011,automatic,GJ,233259,280564
MARUTI,Swift,2020,diesel,First Owner,23.19692197,automatic,RJ,373040,977398
MARUTI,Swift,2001,diesel,Second Owner,24.83375572,automatic,RJ,105793,654089
MARUTI,Swift,2019,electric,First Owner,32.4522435,manual,DL,358843,956046
MARUTI,Swift,2014,diesel,Second Owner,21.02796755,automatic,KA,124835,1115124
MARUTI,Swift,2006,diesel,First Owner,18.18523389,manual,WB,104321,1963964
MARUTI,Swift,2011,electric,First Owner,17.81638436,manual,DL,237901,1855014
MARUTI,Swift,2007,diesel,First Owner,31.5398922,manual,KA,178989,1877622
MARUTI,Swift,2014,diesel,Second Owner,30.22971373,automatic,RJ,211487,742555
MARUTI,Swift,2002,electric,First Owner,24.95290682,automatic,WB,137004,1178946
MARUTI,Swift,2013,electric,First Owner,20.49742856,manual,GJ,142297,406711
MARUTI,Swift,2016,petrol,Second Owner,28.55226351,manual,UP,265040,1057999
MARUTI,Swift,2003,electric,First Owner,15.76866195,manual,MP,246549,1437676
MARUTI,Swift,2017,petrol,Second Owner,26.36455631,manual,MP,299729,662928
MARUTI,Swift,2007,diesel,Second Owner,22.96850337,manual,MH,238178,1241682
MARUTI,Swift,2003,electric,First Owner,34.55719268,automatic,RJ,167732,1875651
MARUTI,Swift,2001,electric,First Owner,25.15120498,manual,RJ,271087,1171578
MARUTI,Swift,2005,electric,Second Owner,26.04535505,automatic,GJ,208722,1544856
MARUTI,Swift,2021,diesel,First Owner,29.24725327,manual,DL,377925,398874
MARUTI,Swift,2009,petrol,First Owner,24.69076962,manual,UP,397462,479179
MARUTI,Swift,2003,diesel,First Owner,19.49137239,automatic,RJ,137273,300414
MARUTI,Swift,2021,diesel,First Owner,25.74555693,automatic,PB,207665,1525495
MARUTI,Swift,2017,electric,Second Owner,33.88537742,manual,MH,250513,629082
MARUTI,Swift,2011,petrol,Second Owner,23.19821976,automatic,MP,276133,858115
MARUTI,Swift,2001,diesel,First Owner,28.5928191,automatic,RJ,248776,1682108
MARUTI,Swift,2009,electric,Second Owner,34.56068378,manual,UP,26968,1571799
MARUTI,Swift,2003,diesel,First Owner,31.59844626,manual,TN,87249,941328
MARUTI,Swift,2013,diesel,First Owner,28.18068266,manual,DL,160312,1344571
MARUTI,Swift,2015,electric,First Owner,29.71992977,automatic,UP,193615,934455
MARUTI,Swift,2014,electric,First Owner,33.72966496,manual,PB,318263,1790425
MARUTI,Swift,2007,petrol,Second Owner,34.19504209,manual,DL,388541,1242641
MARUTI,Baleno,2013,diesel,First Owner,34.37936261,automatic,MP,295244,1591637
MARUTI,Baleno,2022,electric,Second Owner,27.51283256,manual,DL,324938,1158021
MARUTI,Baleno,2007,electric,First Owner,22.694233,automatic,UP,386663,487762
MARUTI,Baleno,2020,petrol,Second Owner,17.66306258,automatic,WB,68121,743228
MARUTI,Baleno,2015,petrol,Second Owner,22.71096003,manual,UP,291287,247777
MARUTI,Baleno,2012,electric,Second Owner,33.85910909,automatic,RJ,341520,780234
MARUTI,Baleno,2017,petrol,Second Owner,32.79594161,automatic,PB,103144,635799
MARUTI,Baleno,2014,electric,First Owner,25.47319324,manual,GJ,388672,469740
MARUTI,Baleno,2020,diesel,Second Owner,25.74014573,automatic,DL,102016,1504982
MARUTI,Baleno,2023,petrol,First Owner,21.17840699,manual,UP,150604,1005287
MARUTI,Baleno,2012,diesel,Second Owner,24.0901578,manual,KA,231817,417770
MARUTI,Baleno,2008,diesel,Second Owner,29.28896988,manual,KA,360881,1279043
MARUTI,Baleno,2014,diesel,Second Owner,23.04861451,manual,MH,88677,677521
MARUTI,Baleno,2012,electric,First Owner,18.75967744,manual,DL,112889,1912093
MARUTI,Baleno,2000,diesel,Second Owner,25.81719158,automatic,WB,97006,1880654
MARUTI,Baleno,2006,diesel,First Owner,19.50673823,automatic,PB,115133,834852
MARUTI,Baleno,2008,diesel,First Owner,34.48575112,automatic,TN,312234,1904854
MARUTI,Baleno,2023,electric,First Owner,22.80679828,manual,PB,307620,1777611
MARUTI,Baleno,2000,diesel,Second Owner,33.19329943,manual,DL,346148,689027
MARUTI,Baleno,2011,diesel,Second Owner,19.51107993,manual,KA,213545,1291139
MARUTI,Baleno,2007,petrol,Second Owner,18.78418011,manual,PB,94469,686323
MARUTI,Baleno,2023,electric,Second Owner,27.33802258,automatic,UP,95650,1838056
MARUTI,Baleno,2010,diesel,Second Owner,30.58758157,automatic,PB,247880,844712
MARUTI,Baleno,2018,petrol,Second Owner,26.33529128,manual,DL,325801,1663757
MARUTI,Baleno,2016,electric,Second Owner,19.59591367,manual,UP,381406,1571450
MARUTI,Baleno,2007,electric,First Owner,15.75788726,manual,MP,182930,1692025
MARUTI,Baleno,2002,electric,Second Owner,27.36577642,automatic,PB,344985,405175
MARUTI,Baleno,2002,electric,First Owner,17.62074451,automatic,MH,27931,1092602
MARUTI,Baleno,2000,electric,First Owner,21.86352774,manual,DL,126951,1141511
MARUTI,Baleno,2004,electric,Second Owner,28.51569507,manual,RJ,74694,1058518
MARUTI,Baleno,2009,diesel,Second Owner,16.96046881,automatic,RJ,290779,570048
MARUTI,Baleno,2006,diesel,First Owner,17.5450296,automatic,MH,327396,985866
MARUTI,Baleno,2008,diesel,First Owner,16.23332415,manual,RJ,227715,1017626
MARUTI,Baleno,2006,diesel,Second Owner,34.92158258,manual,MH,210826,1926236
MARUTI,Baleno,2008,petrol,First Owner,22.74153537,manual,MP,351161,486736
MARUTI,Baleno,2007,diesel,First Owner,33.11590335,automatic,WB,173149,1609456
MARUTI,Baleno,2011,electric,First Owner,20.87171277,manual,KA,349097,515346
MARUTI,Baleno,2001,diesel,First Owner,30.0640513,automatic,UP,107776,626220
MARUTI,Baleno,2000,diesel,Second Owner,19.38133233,manual,MH,355356,517177
MARUTI,Baleno,2015,electric,Second Owner,24.96649419,manual,GJ,354691,1720048
MARUTI,Wagon R,2022,diesel,First Owner,31.49231479,manual,GJ,168126,1477975
MARUTI,Wagon R,2022,diesel,First Owner,31.32668798,automatic,GJ,74565,1770803
MARUTI,Wagon R,2023,diesel,First Owner,30.88561435,manual,TN,75153,1172075
MARUTI,Wagon R,2004,petrol,Second Owner,31.47468826,automatic,RJ,169740,1880373
MARUTI,Wagon R,2002,diesel,Second Owner,19.22944563,manual,MH,273617,1429480
MARUTI,Wagon R,2011,electric,First Owner,24.64432545,automatic,DL,135095,1938219
MARUTI,Wagon R,2007,electric,First Owner,24.69742949,manual,MH,381425,336479
MARUTI,Wagon R,2021,diesel,First Owner,32.81004975,automatic,DL,330705,724702
MARUTI,Wagon R,2002,diesel,Second Owner,20.93783659,manual,MP,369617,1482800
MARUTI,Wagon R,2000,diesel,First Owner,33.62991787,automatic,DL,149552,815823
MARUTI,Wagon R,2002,electric,First Owner,24.01591473,automatic,WB,305980,1236703
MARUTI,Wagon R,2004,electric,First Owner,28.39574006,manual,GJ,342564,532651
MARUTI,Wagon R,2014,petrol,First Owner,20.37766225,automatic,RJ,247850,477289
MARUTI,Wagon R,2013,petrol,First Owner,23.20596214,automatic,UP,291055,860345
MARUTI,Wagon R,2002,petrol,Second Owner,29.19601864,manual,UP,176065,1076321
MARUTI,Wagon R,2000,electric,Second Owner,25.25494284,automatic,TN,111216,1204794
MARUTI,Wagon R,2004,petrol,Second Owner,33.61416023,manual,MP,200768,671716
MARUTI,Wagon R,2022,diesel,First Owner,29.74249932,manual,WB,93080,362644
MARUTI,Wagon R,2013,diesel,Second Owner,26.28805851,automatic,WB,304433,1439180
MARUTI,Wagon R,2006,electric,First Owner,32.73339513,automatic,RJ,51346,1861305
MARUTI,Wagon R,2008,petrol,Second Owner,28.31112778,automatic,DL,259261,817591
MARUTI,Wagon R,2014,diesel,Second Owner,27.94640947,automatic,TN,45644,413441
MARUTI,Wagon R,2014,electric,First Owner,19.92742666,automatic,KA,48279,440503
MARUTI,Wagon R,2009,petrol,First Owner,22.89713931,manual,DL,115446,1878496
MARUTI,Wagon R,2012,diesel,First Owner,28.66607305,manual,TN,330782,1931688
MARUTI,Wagon R,2018,petrol,Second Owner,32.83583423,automatic,WB,269983,1402660
MARUTI,Wagon R,2006,electric,First Owner,21.31094947,automatic,MP,133917,1895138
MARUTI,Wagon R,2016,petrol,Second Owner,19.30971244,automatic,UP,54341,212708
MARUTI,Wagon R,2019,electric,Second Owner,26.87391958,automatic,MH,139660,1394699
MARUTI,Wagon R,2003,petrol,Second Owner,16.34394196,automatic,DL,138481,743623
MARUTI,Wagon R,2004,diesel,First Owner,29.29083403,manual,PB,174975,448885
MARUTI,Wagon R,2022,electric,First Owner,29.06277087,manual,DL,120957,1697688
MARUTI,Wagon R,2006,electric,First Owner,22.09932062,manual,MH,317123,1752006
MARUTI,Wagon R,2012,electric,Second Owner,32.85355307,automatic,WB,388770,856897
MARUTI,Wagon R,2014,petrol,Second Owner,25.04362283,automatic,TN,85109,825760
MARUTI,Wagon R,2010,petrol,First Owner,27.91529901,automatic,MP,129239,1789216
MARUTI,Wagon R,2003,diesel,Second Owner,19.19156964,manual,PB,172999,1627303
MARUTI,Wagon R,2012,electric,Second Owner,23.3468067,manual,WB,351500,1027003
MARUTI,Wagon R,2006,electric,Second Owner,32.24835081,manual,KA,176473,372216
MARUTI,Wagon R,2018,petrol,First Owner,19.25879095,manual,UP,182773,1610480
MARUTI,Ertiga,2021,petrol,Second Owner,22.81148755,automatic,RJ,93226,824086
MARUTI,Ertiga,2001,diesel,Second Owner,21.36153089,automatic,MP,250398,925956
MARUTI,Ertiga,2009,diesel,First Owner,18.0222037,automatic,UP,123658,913852
MARUTI,Ertiga,2012,petrol,First Owner,20.79435836,automatic,PB,155298,1473165
MARUTI,Ertiga,2020,electric,First Owner,19.65544567,automatic,DL,110808,1520199
MARUTI,Ertiga,2005,diesel,First Owner,33.47187261,automatic,TN,389677,1736851
MARUTI,Ertiga,2011,petrol,First Owner,29.82157609,manual,GJ,217421,1537534
MARUTI,Ertiga,2011,petrol,First Owner,21.32203164,automatic,MH,138525,1258641
MARUTI,Ertiga,2019,electric,Second Owner,30.26678106,automatic,MP,178075,1217558
MARUTI,Ertiga,2010,petrol,Second Owner,15.44279906,automatic,PB,234075,1012252
MARUTI,Ertiga,2022,petrol,Second Owner,25.53049422,automatic,GJ,252350,1652230
MARUTI,Ertiga,2006,diesel,Second Owner,20.00669127,automatic,UP,379715,222871
MARUTI,Ertiga,2000,petrol,First Owner,17.28644144,automatic,TN,370745,1035757
MARUTI,Ertiga,2000,petrol,Second Owner,32.67517057,automatic,DL,88160,433688
MARUTI,Ertiga,2019,diesel,First Owner,18.98681069,automatic,DL,25505,481805
